"","V1","V2"
"1",2036,229
"2",755,238
"3",1318,236
"4",1759,64
"5",546,242
"6",1182,97
"7",1973,231
"8",703,172
"9",1315,113
"10",1705,231
"11",1904,231
"12",602,240
"13",1520,30
"14",1852,187
"15",1800,231
"16",1664,64
"17",1598,71
"18",1600,231
"19",1528,119
"20",1535,229
"21",1445,60
"22",1451,119
"23",1455,229
"24",1382,159
"25",1123,30
"26",1238,236
"27",1232,129
"28",1066,40
"29",1072,116
"30",1079,236
"31",1008,53
"32",1008,127
"33",1016,236
"34",945,67
"35",947,135
"36",954,238
"37",882,88
"38",883,148
"39",886,238
"40",817,114
"41",819,170
"42",819,238
"43",756,145
"44",708,240
"45",657,240
"46",490,240
"47",433,240
"48",373,238
"49",309,238
"50",247,238
"51",192,236
"52",137,236
"53",80,236
"54",28,236
